title,price,location A,location B,location C,location D,location E,size,lat,long,amount
Novi Beograd - Blok 44 Tc Piramida ID#46827,"700,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 44 (TC Piramida),"Gandijeva ","75 m2
Kvadratura",44.8019719,20.3870691,1
Novi Beograd - Blok 21 Hotel Hajat ID#46828,"700,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 21,"Bulevar Mihaila Pupina ","90 m2
Kvadratura",44.8145051,20.4303868,2
Stan sa direktnim pogledom na reku – BW Terraces,"3.000,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovačka ","105 m2
Kvadratura",44.8048828,20.448043,31
Novi Beograd - Stari Merkator ID#46734,"350,00 €",Serbia,"Beograd ","Opština Novi Beograd ","Stari Merkator "," ","36 m2
Kvadratura",44.8280022,20.4125119,3
"Belvil Lux 2,0 stan 48m2 sa parking mestom od 18m2","950,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67 (Belvil),"Jurija Gagarina ","48 m2
Kvadratura",44.8060321,20.4092411,10
"Hram, novogradnja, komforan, garaža, ID 17844","1.200,00 €",Serbia,"Beograd ","Opština Vračar ","Hram svetog Save ","Nebojšina ","101 m2
Kvadratura",44.7981492,20.4691058,11
"BW - Arcadia, nov, neuseljavan, garaža, ID 17770","800,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovačka ","54 m2
Kvadratura",44.8048828,20.448043,31
"Blok 61, renoviran, komforan, ID 8443","750,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 61,"Jurija Gagarina ","100 m2
Kvadratura",44.8033864,20.3699008,3
Centar - Beograd Na Vodi BW ID#45925,"2.250,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","90 m2
Kvadratura",44.8048828,20.448043,31
Centar - Beograd Na Vodi BW ID#44190,"1.200,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","62 m2
Kvadratura",44.8048828,20.448043,31
"Beograd, Blok 62, Stan, 4.0, 100m2","750,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 62,"Jurija Gagarina ","100 m2
Kvadratura",44.8039695,20.376525,3
"Beograd, Blok 65, Stan, 4.0, 88m2","1.100,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 65,"Tošin bunar  ","88 m2
Kvadratura",44.8126665,20.3980309,12
Kapetan Mišina Dorćol,"450,00 €",Serbia,"Beograd ","Opština Stari grad ","Dorćol ","Kapetan Mišina ","40 m2
Kvadratura",44.8252158,20.460523,333
Stan na odličnoj lokaciji.,"240,00 €",Serbia,"Beograd ","Opština Zvezdara ","Konjarnik ",Zapadno selište 47,"42 m2
Kvadratura",44.7827202,20.5067648,6
Novi Beograd - Belville ID#46709,"1.200,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67 (Belvil),"Đorđa Stanojevića ","101 m2
Kvadratura",44.8060321,20.4092411,10
Novi Beograd - West 65 TOWER ID#45059,"1.300,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 65,"Omladinskih Brigada ","60 m2
Kvadratura",44.8126665,20.3980309,12
Garsonjera/30m2,"180,00 €",Serbia,"Beograd ","Opština Rakovica ","Miljakovac ","Vukasoviceva ","30 m2
Kvadratura",44.7470721,20.4518071,3
"A blok, lux, novogradnja, garaža, ID 15674","650,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67a (A blok),"Jurija Gagarina ","40 m2
Kvadratura",44.8061288,20.4015421,9
"Dedinje, lux, novogradnja, ID 17857","1.500,00 €",Serbia,"Beograd ","Opština Savski venac ","Dedinje ","Miloja Đaka ","88 m2
Kvadratura",44.7740688,20.4560195,350
"Stan u Takovskoj ulici, 4.0-119m2 parking mesto Fo","1.500,00 €",Serbia,"Beograd ","Opština Stari grad ","Takovska ","Takovska ","119 m2
Kvadratura",44.813181,20.4718475,2
"Trosoban stan na Dedinju, potpono nov","1.500,00 €",Serbia,"Beograd ","Opština Savski venac ","Dedinje ","Miloja đaka ","88 m2
Kvadratura",44.7740688,20.4560195,350
"Izdaje se stan u Zemunu, kod Zelene avenije, 70m2","550,00 €",Serbia,"Beograd ","Opština Zemun ","Zelena avenija ",Džordža Vašingtona 4,"70 m2
Kvadratura",44.8377664,20.4049409,1
Trosoban duplex na Banjici,"430,00 €",Serbia,"Beograd ","Opština Voždovac ","Banjica ","Paunova ","84 m2
Kvadratura",44.7621061,20.4683341,6
Centar - Beograd Na Vodi BW ID#45442,"650,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","25 m2
Kvadratura",44.8048828,20.448043,31
"Gundulićev venac, lux, renoviran, ID 11890","1.350,00 €",Serbia,"Beograd ","Opština Stari grad ","Gundulićev venac ","Gundulićev venac ","92 m2
Kvadratura",44.8203336,20.4690457,1
"Lekino brdo, lux, novogradnja, ID 17855","450,00 €",Serbia,"Beograd ","Opština Voždovac ","Lekino brdo ","Kruševačka ","35 m2
Kvadratura",44.7891937,20.4947692,7
Širi centar - Dedinje ID#42834,"1.100,00 €",Serbia,"Beograd ","Opština Savski venac ","Dedinje ","Miloja Đaka ","135 m2
Kvadratura",44.7740688,20.4560195,350
Novi Beograd - YUBC BLOK 12 ID#45736,"500,00 €",Serbia,"Beograd ","Opština Novi Beograd ","YUBC ","Bulevar Mihajla Pupina ","77 m2
Kvadratura",44.8224293,20.418225,3
Zemun - Prvomajska ID#46820,"450,00 €",Serbia,"Beograd ","Opština Zemun ","Kalvarija ","Zivka Petrovica ","45 m2
Kvadratura",44.83816,20.3975132,2
Zemun - Prvomajska ID#46821,"450,00 €",Serbia,"Beograd ","Opština Zemun ","Kalvarija ","Zivka Petrovica ","45 m2
Kvadratura",44.83816,20.3975132,2
Širi centar - Julino Brdo ID#46601,"250,00 €",Serbia,"Beograd ","Opština Čukarica ","Julino brdo ","Petra Lubarde ","50 m2
Kvadratura",44.7676092,20.4096266,1
Izdajem apartman u Đurićevoj,"400,00 €",Serbia,"Beograd ","Opština Zvezdara ","Bulbulder ",Đurićeva 19,"36 m2
Kvadratura",44.8028978,20.492606,3
Smiljanićeva PR 3.0 Slavija poslovni prostor,"850,00 €",Serbia,"Beograd ","Opština Vračar ","Slavija ",Smiljanićeva 4,"85 m2
Kvadratura",44.8027838,20.465944,6
"Vračar, Njegoševa, 1.5 namešten, id 4410","500,00 €",Serbia,"Beograd ","Opština Vračar ","Centar ","Njegoševa ","45 m2
Kvadratura",44.7995311,20.475025,2
"*29346, Izdavanje, Stan, BELVILLE, 1200 EUR","1.200,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67 (Belvil)," ","107 m2
Kvadratura",44.8060321,20.4092411,10
MODERAN STAN U ZEMUNU 47m2,"800,00 €",Serbia,"Beograd ","Opština Zemun ","Gornji grad ","Dobanovačka  ","47 m2
Kvadratura",44.8596448,20.3767304,7
"Savada 3, nov, neuseljavan, garaža, ID 17768","1.200,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 65,"Tošin bunar ","90 m2
Kvadratura",44.8126665,20.3980309,12
"BW - Terraces, ekskluzivan stan, ID 17403","3.000,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovačka ","140 m2
Kvadratura",44.8048828,20.448043,31
"BW - Terraces, lux, neuseljavan, garaža, ID 17649","2.200,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovačka ","105 m2
Kvadratura",44.8048828,20.448043,31
"A blok, lux,novogradnja,garaža, penthouse! ID10070","3.500,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67a (A blok),"Jurija Gagarina ","140 m2
Kvadratura",44.8061288,20.4015421,9
"Ulcinjska 107m2, NOV, kompletno namešten","1.350,00 €",Serbia,"Beograd ","Opština Vračar ","Crveni krst ","Ulcinjska ","107 m2
Kvadratura",44.795856,20.4882292,17
"Belvil, novogradnja, garaža, ID 14276","550,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67 (Belvil),"Jurija Gagarina ","43 m2
Kvadratura",44.8060321,20.4092411,10
"Kalenić pijaca, lux renoviran salonac, ID 17829","1.000,00 €",Serbia,"Beograd ","Opština Vračar ","Kalenić pijaca ","Kalenićeva ","79 m2
Kvadratura",44.8001747,20.475769,170
"Arena, lux, novogradnja, za pp, ID 3738","900,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 29,"Španskih boraca ","110 m2
Kvadratura",44.8157598,20.4171526,4
Novi Beograd - Minel ID#46353,"600,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67a (A blok),"Tosin Bunar ","51 m2
Kvadratura",44.8061288,20.4015421,9
"Kneza Miloša Residence, lux, novogradnja, ID 17782","2.500,00 €",Serbia,"Beograd ","Opština Savski venac ","Kneza Miloša ","Kneza Miloša ","93 m2
Kvadratura",44.8083301,20.4635596,4
"SUPER, PROSTRAN STAN, centar! ID 2230","1.400,00 €",Serbia,"Beograd ","Opština Stari grad ","Centar ","Dalmatinska ","142 m2
Kvadratura",44.8184554,20.4643411,14
Novi Beograd - Blok 61 Novogradnja ID#46468,"1.500,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 61,"Jurija Gagarina ","165 m2
Kvadratura",44.8033864,20.3699008,3
"Blok 22, novogradnja, za pp, ID 17852","450,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 22,"Antifašističke borbe ","52 m2
Kvadratura",44.811609,20.4264583,4
"Lux namešten 1,0stan sa malim režijama blizu grada","250,00 €",Serbia,"Beograd ","Opština Zvezdara ",Zvezdara 2,"Nikole Doksata ","29 m2
Kvadratura",44.8091387,20.5015404,1
Širi centar - Mirijevo ID#46532,"350,00 €",Serbia,"Beograd ","Opština Zvezdara ","Mirijevo ","Radmile Savicevic ","30 m2
Kvadratura",44.7854051,20.5461547,175
"A blok, lux, novogradnja, garaža, ID 13958","1.200,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67a (A blok),"Jurija Gagarina ","73 m2
Kvadratura",44.8061288,20.4015421,9
"Zemun, lux, novogradnja, parking, ID 17850","650,00 €",Serbia,"Beograd ","Opština Zemun ","Save Kovačevića ","Hercegovačka ","56 m2
Kvadratura",44.844921,20.3936839,5
"Neuseljavan 2.0 stan sa garažom (A blok, IV faza)","750,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67a (A blok),"Jurija Gagarina ","50 m2
Kvadratura",44.8061288,20.4015421,9
"Zakup, Četvorosoban stan, Lux, Opremljen, G.mesto","2.300,00 €",Serbia,"Beograd ","Opština Savski venac ","Senjak ","Sanje Živanović ","160 m2
Kvadratura",44.7921816,20.4375457,8
Centar - Beograd Na Vodi BW ID#46697,"1.300,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","90 m2
Kvadratura",44.8048828,20.448043,31
VRAČAR - čubura - Izdavanje - stan - garsonjera,"320,00 €",Serbia,"Beograd ","Opština Vračar ","Čubura ",Cerska 3,"21 m2
Kvadratura",44.7954768,20.4773131,165
Novi Beograd - Studentski Grad ID#46792,"500,00 €",Serbia,"Beograd ","Opština Novi Beograd ","Fontana ","Bulevar Zorana Đinđića ","56 m2
Kvadratura",44.8211636,20.410414,3
Širi centar - Senjak ID#46184,"2.000,00 €",Serbia,"Beograd ","Opština Savski venac ","Senjak "," ","110 m2
Kvadratura",44.7921816,20.4375457,8
Novi Beograd - Belville ID#46811,"1.200,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67 (Belvil),"Đorđa Stanojevića ","101 m2
Kvadratura",44.8060321,20.4092411,10
Luksuzni stambeno poslovni prostor u Kneza Milosa,"2.600,00 €",Serbia,"Beograd ","Opština Savski venac ","Kneza Miloša ","Kneza Milosa ","240 m2
Kvadratura",44.8083301,20.4635596,4
"Garden centar, 195 m2, moderan, namešten, sređen","1.800,00 €",Serbia,"Beograd ","Opština Palilula ","Dalmatinska ","Dalmatinska  ","87 m2
Kvadratura",44.8112897,20.4778975,1
Centar - Bogoslovija ID#46800,"1.350,00 €",Serbia,"Beograd ","Opština Palilula ","Bogoslovija ","Bore Vukmirovića ","160 m2
Kvadratura",44.8151594,20.488473,3
Centar - Stari Grad ID#46801,"1.500,00 €",Serbia,"Beograd ","Opština Stari grad ","Dorćol ","Gospodar Jovanova ","180 m2
Kvadratura",44.8252158,20.460523,333
Novi Beograd - MINEL ID#46337,"650,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67a (A blok),"Tosin Bunar ","58 m2
Kvadratura",44.8061288,20.4015421,9
Centar - Savski Venac ID#45294,"650,00 €",Serbia,"Beograd ","Opština Vračar ","Slavija ","Kralja Milutina ","70 m2
Kvadratura",44.8027838,20.465944,6
Novi Beograd - SAVADA 3 ID#46457,"1.000,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67a (A blok),"Tošin bunar ","85 m2
Kvadratura",44.8061288,20.4015421,9
"Wellport, lux, novogradnja, garaža, ID 17205","600,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 65,"Tadije Sodermajera ","37 m2
Kvadratura",44.8126665,20.3980309,12
"New Minel, lux, novogradnja, garaža, ID 17682","700,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 60,"Tošin bunar ","56 m2
Kvadratura",44.8149788,20.3855902,1
Lux dupleks od 148m2 sa dva garažna mesta,"1.900,00 €",Serbia,"Beograd ","Opština Savski venac ","Dedinje "," ","148 m2
Kvadratura",44.7740688,20.4560195,350
"Blok 61, renoviran, komforan, ID 8443","750,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 61,"Jurija Gagarina ","100 m2
Kvadratura",44.8033864,20.3699008,3
Stan za mladi par,"330,00 €",Serbia,"Beograd ","Opština Zemun ","Gornji grad ","Pregrevica ","35 m2
Kvadratura",44.8596448,20.3767304,7
"Blok 33, lux, renoviran, ID 9877","750,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 33,"Bulevar Arsenija Čarnojevića ","90 m2
Kvadratura",44.8205858,20.4074632,1
"Beograd, Blok 65, Stan, 2.0, 65m2","1.500,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 65,"Omladinskih brigada ","65 m2
Kvadratura",44.8126665,20.3980309,12
"Beograd, Centar, Stan, 2.5, 70m2","500,00 €",Serbia,"Beograd ","Opština Stari grad ","Centar ","Knez Miletina ","70 m2
Kvadratura",44.8184554,20.4643411,14
"Beograd, Blok 63, Stan, 2.0, 45m2","600,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 63,"Jurija Gagarina ","45 m2
Kvadratura",44.805903,20.3823845,2
"Beograd, Crveni krst, Stan, 4.0, 125m2","1.200,00 €",Serbia,"Beograd ","Opština Vračar ","Crveni krst ","Kajmakcalanska ","125 m2
Kvadratura",44.795856,20.4882292,17
"Beograd, Blok 67a (A blok), Stan, 3.0, 98m2","1.850,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67a (A blok),"Jurija Gagarina ","98 m2
Kvadratura",44.8061288,20.4015421,9
"Beograd, Dedinje, Stan, 3.0, 100m2","1.450,00 €",Serbia,"Beograd ","Opština Savski venac ","Dedinje ","Diane Budisavljevic ","100 m2
Kvadratura",44.7740688,20.4560195,350
"Beograd, Beograd na vodi, Stan, 4.0, 121m2","1.850,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","ARCADIA Hercegovacka ","121 m2
Kvadratura",44.8048828,20.448043,31
"Beograd, Crveni krst, Stan, 3.0, 110m2","1.300,00 €",Serbia,"Beograd ","Opština Vračar ","Crveni krst ","Kajmakcalanska ","110 m2
Kvadratura",44.795856,20.4882292,17
Centar - Djeram Vuk ID#41852,"800,00 €",Serbia,"Beograd ","Opština Zvezdara ","Đeram pijaca ","Đevđelijska ","72 m2
Kvadratura",44.8013332,20.4872266,5
Centar - Vracar ID#46790,"1.200,00 €",Serbia,"Beograd ","Opština Zvezdara ","Crveni krst ","Kajmakčalanska ","125 m2
Kvadratura",44.795856,20.4882292,17
Centar - Savski Venac ID#46787,"900,00 €",Serbia,"Beograd ","Opština Savski venac ","Klinički centar ","Visegradska ","75 m2
Kvadratura",44.7981748,20.4569476,2
Izdaje se stan u Bloku 45,"550,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 45 (TC Enjub),"Jurija Gagarina ","81 m2
Kvadratura",44.7984982,20.3742101,169
Lux Garsonjera,"280,00 €",Serbia,"Beograd ","Opština Zvezdara ","Konjarnik ",Prvomajska 12,"22 m2
Kvadratura",44.7827202,20.5067648,6
BW- Aurora- lux-2.0- sa garznim mestom,"1.000,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Vudroa Vilsona ","60 m2
Kvadratura",44.8048828,20.448043,31
Širi centar - Banovo Brdo ID#46566,"500,00 €",Serbia,"Beograd ","Opština Čukarica ","Banovo brdo ","Ickova ","65 m2
Kvadratura",44.7767729,20.4155629,8
Centar - Savski Venac ID#46357,"2.500,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Kneza Miloša ","95 m2
Kvadratura",44.8048828,20.448043,31
Novi Beograd - Sun City Blok 63 ID#46216,"1.300,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 63,"Jurija Gagarina ","83 m2
Kvadratura",44.805903,20.3823845,2
Centar - Beograd Na Vodi BW ID#46785,"1.500,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","70 m2
Kvadratura",44.8048828,20.448043,31
Širi centar - Brace Jerkovic ID#46781,"350,00 €",Serbia,"Beograd ","Opština Voždovac ","Braće Jerković ","Brace Jerkovic ","55 m2
Kvadratura",44.7705535,20.4943111,10
Centar - Beograd Na Vodi BW ID#46557,"1.600,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","90 m2
Kvadratura",44.8048828,20.448043,31
"Lux stan, dedinje, izdavanje, namesten/ prazan","2.500,00 €",Serbia,"Beograd ","Opština Savski venac ","Dedinje ","Omladinska ","140 m2
Kvadratura",44.7740688,20.4560195,350
Lux Stan za Izdavanje,"1.000,00 €",Serbia,"Beograd ","Opština Stari grad ","Studentski trg ","Vase Carpica  ","74 m2
Kvadratura",44.8189483,20.4573839,2
"Vukov spomenik, 2.0 nov, namešten ID#14061","480,00 €",Serbia,"Beograd ","Opština Zvezdara ","Vukov Spomenik ","Čelopečka ","55 m2
Kvadratura",44.8046413,20.4832729,164
"Dedinje, lux, novogradnja, garaža, ID 16819","1.500,00 €",Serbia,"Beograd ","Opština Savski venac ","Dedinje ","Miloja Đaka ","103 m2
Kvadratura",44.7740688,20.4560195,350
Novi Beograd - Belville ID#46775,"600,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 67 (Belvil),"Đorđa Stanojevića ","62 m2
Kvadratura",44.8060321,20.4092411,10
Centar - Beograd Na Vodi BW ID#45995,"2.100,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","110 m2
Kvadratura",44.8048828,20.448043,31
"Garsonjera, Stari merkator","160,00 €",Serbia,"Beograd ","Opština Novi Beograd ","Stari Merkator ","Bulevar Mihaila Pupina ","15 m2
Kvadratura",44.8280022,20.4125119,3
Novi Beograd - Stari Merkator ID#46350,"450,00 €",Serbia,"Beograd ","Opština Novi Beograd ","Stari Merkator ","Klare Cetkin ","62 m2
Kvadratura",44.8280022,20.4125119,3
Širi centar - Banovo Brdo ID#46804,"400,00 €",Serbia,"Beograd ","Opština Čukarica ","Banovo brdo ","Bogoljuba Čukića ","45 m2
Kvadratura",44.7767729,20.4155629,8
"Blok 22, 2.0 polunamešten ID#14057","450,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 22,"Bulevar Arsenija Čarnojevića ","65 m2
Kvadratura",44.811609,20.4264583,4
4 spavace sobe u blizini Slavije ID#1006,"1.200,00 €",Serbia,"Beograd ","Opština Vračar ","Slavija ","Kralja Milutina ","144 m2
Kvadratura",44.8027838,20.465944,6
Centar - Beograd Na Vodi BW ID#45994,"1.850,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","121 m2
Kvadratura",44.8048828,20.448043,31
"2.5 Gradska bolnica, novogradnja","420,00 €",Serbia,"Beograd ","Opština Zvezdara ","Gradska bolnica ","Velebitska ","60 m2
Kvadratura",44.7999794,20.4994395,1
Centar - Vracar ID#46822,"700,00 €",Serbia,"Beograd ","Opština Vračar ","Crveni krst ","Vojislava Ilića ","47 m2
Kvadratura",44.795856,20.4882292,17
Zemun - Gornji Grad ID#46763,"450,00 €",Serbia,"Beograd ","Opština Zemun ","Gornji grad "," ","60 m2
Kvadratura",44.8596448,20.3767304,7
Novi Beograd - Blok 70a Delta ID#46791,"470,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 70 (kineski tržni centar),"Jurija Gagarina ","95 m2
Kvadratura",44.8027884,20.3918182,2
"Nov, odlican stan, sa garaznim mestom!","1.200,00 €",Serbia,"Beograd ","Opština Novi Beograd ","Tošin bunar ","Tosin bunar ","92 m2
Kvadratura",44.8174406,20.3948763,3
Apartmani 28 blok (kod kafica IN),"40,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 28,Bulevar Arsenija Carnojevic 99,"30 m2
Kvadratura",44.8128631,20.4132254,1
Centar - Stari Grad ID#46760,"1.800,00 €",Serbia,"Beograd ","Opština Stari grad ","Studentski trg ","Knicaninova ","80 m2
Kvadratura",44.8189483,20.4573839,2
Novi Beograd - Arena Blok 29 ID#46805,"450,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 29,"Bulevar Arsenija Čarnojevića ","60 m2
Kvadratura",44.8157598,20.4171526,4
Izdajem dvosoban stan,"280,00 €",Serbia,"Beograd ","Opština Čukarica ","Žarkovo ","Ace joksimovica ","45 m2
Kvadratura",44.7615346,20.4130631,3
"Hram,Delux,205m2,+T2Garažna mesta,Obezbeđenje","3.400,00 €",Serbia,"Beograd ","Opština Vračar ","Hram svetog Save ","Skerlićeva ","205 m2
Kvadratura",44.7981492,20.4691058,11
Novi Beograd - Blok 70a Delta ID#45390,"300,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 70a," ","50 m2
Kvadratura",44.800409,20.402188,1
2.5 stan u cenu uračunat INFOSTAN,"300,00 €",Serbia,"Beograd ","Opština Čukarica ","Sremčica ","sare bernar ","65 m2
Kvadratura",44.6759957,20.3919853,1
Novi Beograd - Blok 45 ID#46817,"450,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 45 (TC Enjub),"Jurija Gagarina ","56 m2
Kvadratura",44.7984982,20.3742101,169
Centar - Vracar ID#46754,"500,00 €",Serbia,"Beograd ","Opština Vračar ","Crveni krst ","Cara Nikolaja II ","36 m2
Kvadratura",44.795856,20.4882292,17
Novi Beograd - West 65 TOWER ID#45342,"1.100,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 65,"Omladinskih Brigada ","60 m2
Kvadratura",44.8126665,20.3980309,12
Širi centar - Medakovic ID#46227,"800,00 €",Serbia,"Beograd ","Opština Voždovac ",Medaković 1,Mitrovo brdo Nova 1,"150 m2
Kvadratura",44.7757766,20.505115,2
Širi centar - Brace Jerkovic ID#46823,"800,00 €",Serbia,"Beograd ","Opština Voždovac ","Braće Jerković ","Vojvode Vlahovića ","135 m2
Kvadratura",44.7705535,20.4943111,10
Novi Beograd - Blok 62 ID#46574,"400,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 62,"Nehruova ","45 m2
Kvadratura",44.8039695,20.376525,3
Centar - Palilula Green Residence ID#46178,"400,00 €",Serbia,"Beograd ","Opština Palilula ","Centar ","Dragoslava Srejovića ","48 m2
Kvadratura",44.9398868,20.4626509,2
"Živka Petrovića, 2.0 nov namešten ID#1251","450,00 €",Serbia,"Beograd ","Opština Zemun ","Save Kovačevića ","Živka Petrovića ","50 m2
Kvadratura",44.844921,20.3936839,5
Širi centar - Konjarnik ID#46796,"400,00 €",Serbia,"Beograd ","Opština Voždovac ","Konjarnik ","Ustanicka ","55 m2
Kvadratura",44.7827202,20.5067648,6
Novi Beograd - Opstina ID#46746,"300,00 €",Serbia,"Beograd ","Opština Novi Beograd ","Opština ","Pariske Komune ","33 m2
Kvadratura",44.8099561,20.3800881,1
Novi Beograd - Blok 19a ID#46747,"700,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 19a,"Vladimira Popovica ","80 m2
Kvadratura",44.8062034,20.4295152,2
Širi centar - Banovo Brdo ID#46627,"320,00 €",Serbia,"Beograd ","Opština Čukarica ","Banovo brdo ","Požeška ","50 m2
Kvadratura",44.7767729,20.4155629,8
"Savski trg, Savski venac, odmah useljiv stan","400,00 €",Serbia,"Beograd ","Opština Savski venac ","Savski trg - Pristanište ","Savski trg ","42 m2
Kvadratura",44.8083711,20.4570323,3
Centar - Savski Venac - Trg ID#46535,"400,00 €",Serbia,"Beograd ","Opština Savski venac ","Savski trg - Pristanište ","Savski trg ","42 m2
Kvadratura",44.8083711,20.4570323,3
Širi centar - Brace Jerkovic ID#46824,"320,00 €",Serbia,"Beograd ","Opština Voždovac ","Braće Jerković ","Braće Jerković ","52 m2
Kvadratura",44.7705535,20.4943111,10
BW RESIDENCES 4.0 sa dva garažna mesta,"3.000,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi "," ","124 m2
Kvadratura",44.8048828,20.448043,31
Centar - Vracar Crveni Krst ID#46221,"700,00 €",Serbia,"Beograd ","Opština Vračar ","Crveni krst ","Grcica Milenka ","70 m2
Kvadratura",44.795856,20.4882292,17
Izdajem nov nenamesten stan u Krnjaci,"300,00 €",Serbia,"Beograd ","Opština Palilula ","Krnjača ",Zrenjsninski put 45,"71 m2
Kvadratura",44.8475573,20.5185941,3
Centar - Beograd Na Vodi BW ID#41776,"3.000,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovacka ","124 m2
Kvadratura",44.8048828,20.448043,31
"Rakovica, Vrbnička, 4.0 nov","1.000,00 €",Serbia,"Beograd ","Opština Rakovica ","Centar ","Vrbnička ","140 m2
Kvadratura",44.7189343,20.4538059,1
"Izdajem stan u prizemlju kuće - BANOVO BRDO, gorn","250,00 €",Serbia,"Beograd ","Opština Čukarica ","Banovo brdo ","Izvorska ","50 m2
Kvadratura",44.7767729,20.4155629,8
Novi Beograd - Blok 45 ID#46797,"550,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Blok 45 (TC Enjub),"Jurija Gagarina ","81 m2
Kvadratura",44.7984982,20.3742101,169
Centar - Stari Grad ID#46736,"360,00 €",Serbia,"Beograd ","Opština Stari grad ","Politika ","Džordža Vašingtona ","36 m2
Kvadratura",44.8184554,20.4643411,14
Izdajem dvosoban stan na Dorćolu ulica Braće Baruh,"600,00 €",Serbia,"Beograd ","Opština Stari grad ","Dorćol ",Braće Baruh 8,"56 m2
Kvadratura",44.8252158,20.460523,333
Širi centar - Dedinje ID#46407,"1.500,00 €",Serbia,"Beograd ","Opština Savski venac ","Dedinje ","Majora Jagodića ","145 m2
Kvadratura",44.7740688,20.4560195,350
Odličan trosoban stan – BW Arcadia,"1.300,00 €",Serbia,"Beograd ","Opština Savski venac ","Beograd na vodi ","Hercegovačka ","90 m2
Kvadratura",44.8048828,20.448043,31
Novi Beograd - Bezanijska Kosa 1 ID#46393,"1.200,00 €",Serbia,"Beograd ","Opština Novi Beograd ",Bežanijska kosa 1,"Generala Mihajla Nedeljkovića ","200 m2
Kvadratura",44.8220753,20.3882486,1
